,Stn_code,Date,State,City,Location,Agency,Area,SO2,NO2,PM10
0,95,1/3/2014,Telangana,Hyderabad,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,5,26,217
1,95,1/6/2014,Telangana,Hyderabad,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,5,27,136
2,95,1/9/2014,Telangana,Hyderabad,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,5,30,130
3,95,1/12/2014,Telangana,Hyderabad,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,6,24,78
4,95,1/16/2014,Telangana,Hyderabad,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,5,29,110
5,95,1/19/2014,Telangana,Hyderabad,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,5,24,75
6,95,1/21/2014,Telangana,Hyderabad,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,5,33,154
7,95,1/25/2014,Telangana,Hyderabad,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,5,29,116
8,95,1/29/2014,Telangana,Hyderabad,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,5,32,142
9,95,2/3/2014,Telangana,Hyderabad,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,5,26,177
10,95,2/6/2014,Telangana,Hyderabad,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,5,26,183
11,95,2/9/2014,Telangana,Hyderabad,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,5,27,135
12,95,2/11/2014,Telangana,Hyderabad,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,5,35,134
13,95,2/17/2014,Telangana,Hyderabad,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,5,27,133
14,95,2/20/2014,Telangana,Hyderabad,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,5,32,168
15,95,2/20/2014,Telangana,Hyderabad,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,5,28,123
16,95,2/24/2014,Telangana,Hyderabad,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,5,31,80
17,95,2/26/2014,Telangana,Hyderabad,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,5,21,148
18,95,3/3/2014,Telangana,Hyderabad,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,5,25,99
19,95,3/6/2014,Telangana,Hyderabad,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,5,26,132
20,95,3/9/2014,Telangana,Hyderabad,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,5,22,176
21,95,3/11/2014,Telangana,Hyderabad,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,5,22,128
22,95,3/15/2014,Telangana,Hyderabad,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,5,27,154
23,95,3/19/2014,Telangana,Hyderabad,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,5,32,146
24,95,3/22/2014,Telangana,Hyderabad,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,5,21,154
25,95,3/25/2014,Telangana,Hyderabad,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,5,26,122
26,95,3/28/2014,Telangana,Hyderabad,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,5,22,151
27,95,4/6/2014,Telangana,Hyderabad,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,5,34,155
28,95,4/9/2014,Telangana,Hyderabad,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,5,31,138
29,95,4/11/2014,Telangana,Hyderabad,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,5,31,152
30,95,4/15/2014,Telangana,Hyderabad,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,5,30,208
31,95,4/19/2014,Telangana,Hyderabad,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,5,30,156
32,95,4/22/2014,Telangana,Hyderabad,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,5,28,146
33,95,4/25/2014,Telangana,Hyderabad,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,5,29,152
34,95,4/28/2014,Telangana,Hyderabad,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,5,33,159
35,95,5/3/2014,Telangana,Hyderabad,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,5,36,132
36,95,5/6/2014,Telangana,Hyderabad,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,5,28,104
37,95,5/9/2014,Telangana,Hyderabad,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,5,35,98
38,95,5/11/2014,Telangana,Hyderabad,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,5,41,92
39,95,5/15/2014,Telangana,Hyderabad,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,5,47,181
40,95,5/19/2014,Telangana,Hyderabad,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,5,43,141
41,95,5/23/2014,Telangana,Hyderabad,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,5,29,129
42,95,5/25/2014,Telangana,Hyderabad,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,5,38,160
43,95,5/28/2014,Telangana,Hyderabad,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,5,34,106
44,95,6/3/2014,Telangana,Hyderabad,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,5,32,105
